document_a,document_b,cosine_similarity,fuzzy_similarity,combined_score,flagged
copy2.txt,original2.txt,1.0,1.0,1.0,True
copied.txt,original.txt,0.852621,1.0,0.896834,True
john.txt,juma.txt,0.477388,0.755102,0.560702,False
copy2.txt,original.txt,0.226085,0.691176,0.365613,False
original.txt,original2.txt,0.226085,0.691176,0.365613,False
copied.txt,copy2.txt,0.207004,0.684564,0.350272,False
copied.txt,original2.txt,0.207004,0.684564,0.350272,False
fatma.txt,john.txt,0.104655,0.555556,0.239925,False
fatma.txt,juma.txt,0.103711,0.551724,0.238115,False
copy2.txt,fatma.txt,0.029291,0.449612,0.155387,False
fatma.txt,original2.txt,0.029291,0.449612,0.155387,False
copy2.txt,juma.txt,0.023771,0.447619,0.150925,False
juma.txt,original2.txt,0.023771,0.447619,0.150925,False
john.txt,original.txt,0.019963,0.434783,0.144409,False
copied.txt,john.txt,0.018769,0.431818,0.142684,False
copied.txt,juma.txt,0.012738,0.4375,0.140166,False
juma.txt,original.txt,0.013548,0.435374,0.140096,False
fatma.txt,original.txt,0.01669,0.421687,0.138189,False
copy2.txt,john.txt,0.022979,0.40404,0.137298,False
john.txt,original2.txt,0.022979,0.40404,0.137298,False
copied.txt,fatma.txt,0.015691,0.420455,0.13712,False
